HC11 Pin/Reg,Function (IC/OC/PA),QFP-64 Pin (needs more info) and references,ECU Connector,ECU Pin,Wire Colour i done this by hand by looking at snapon needs verifications with more cross references,Sensor/Actuator,Expected Signal,Test Method/Conditions,Status,Notes,ConfidenceLevel,ResolvableFrom,extravalidationsources,GM_Connector_Label,GM_Function_Name,Enhanced_Mod_Feature,PPK_Calibration,Verification_Sourceneeds more cross references to be more accurate another ,sources, second source, third source?
PA0/IC3,Crank 3X input (TIC3),20,C/D Pink 32-pin,B9,VIOLET,Crank position sensor REF HI,~3x pulses/rev 5V square wave,Scope while cranking - Arduino 75Hz=1500RPM,✅ CONFIRMED Topic 3641+8570,ISR at 0x180DB uses TIC3; Topic 3641: B9=REF HI (Violet); Topic 8570: 5V square wave Hz=(RPM/60)*3; S/C PCM D12=REF HI,HIGH,BOTH,"ISR 0x180DB-0x1815B; TIC3 vector 0xFFEA; PCMHacking Topic 3641 pinouts compaired.xlsx; Topic 8570 bench simulation; Topic 5204 JimStim C1=Crank+"
PD3,MOSI (SPI data out),46,Unknown,?,?,SPI slave device (EEPROM or CAN chip?),Data bit stream to slave,Trace PCB for SPI slave chip,⚠️ SPI enabled but slave unknown,DDRD bit 3 = 1 at 0x1C765 confirms output; PORTD accesses at 0x20844/0x20849/0x208A7/0x208AC (4 total); not clutch/brake input,HIGH,BOTH,"port_usage_analyzer.py: DDRD write 0x1C765 (bit 3=output); PORTD accesses 0x20844/0x20849/0x208A7/0x208AC (4 total); PORTD reg 0x1008; DDRD reg 0x1009; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md lines 281,288; HC11 SPI section"
PD4,SCK (SPI clock),47,Unknown,?,?,SPI slave device (EEPROM or CAN chip?),Clock pulses to slave,Trace PCB for SPI slave chip,⚠️ SPI enabled but slave unknown,DDRD bit 4 = 1 at 0x1C765 confirms output; PORTD accesses at 0x20844/0x20849/0x208A7/0x208AC; not clutch/brake input,HIGH,BOTH,"port_usage_analyzer.py: DDRD write 0x1C765 (bit 4=output); PORTD accesses 0x20844/0x20849/0x208A7/0x208AC (4 total); PORTD reg 0x1008; DDRD reg 0x1009; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md lines 281,288; HC11 SPI section"
PD5,SS (SPI chip select),48,Unknown,?,?,SPI slave device (EEPROM or CAN chip?),Active low chip enable,Trace PCB for SPI slave chip,⚠️ SPI enabled but slave unknown,PORTD bit 5 actively toggled at 0x20844 (clear) and 0x208A7 (set); DDRD write at 0x1C765; 4 PORTD accesses total,HIGH,BOTH,"port_usage_analyzer.py: PORTD bit 5 clear 0x20844, set 0x208A7; DDRD write 0x1C765 (bit 5=output); PORTD reg 0x1008; DDRD reg 0x1009; chip select active-low protocol; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md lines 281,288; HC11 SPI section"
PE0/AN0,ADC Channel 0 (scanned),53,Unknown,?,?,Unknown sensor via scan mode,Voltage read via AN5 scan wraparound,Requires PCB trace analysis,❌ SCAN MODE ONLY - ZERO EXPLICIT SELECTIONS,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN0 selections; read ONLY via AN5 scan wraparound (AN5→AN6→AN7→AN0); sensor location UNKNOWN,LOW,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero PE0/AN0 explicit channel selections in stock or Enhanced; ADC uses scan mode; HC11 ADC section"
PE1/AN1,ADC Channel 1,54,Unknown,?,?,Unknown sensor (NOT IAT),Unknown voltage,Requires ALDL RAM logging or PCB trace,❌ FALSE CLAIM - ZERO SELECTIONS FOUND,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN1 selections in both stock and Enhanced bins; B4 WHITE/BLACK pin may exist but does NOT map to HC11 PE1/AN1 internal ADC; likely external SPI ADC chip or multiplexed input,FALSE,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero PE1/AN1 channel selections found; JustCommodores B4 claim unverified against binary; port_usage_analyzer.py BUG counted total ADCTL writes without parsing channel values"
PE2/AN2,ADC Channel 2,55,Unknown,?,?,Unknown sensor (NOT coolant),Unknown voltage,Requires ALDL RAM logging or PCB trace,❌ FALSE CLAIM - ZERO SELECTIONS FOUND,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN2 selections in both stock and Enhanced bins; port_usage_analyzer.py BUG: counted 21 total ADCTL writes but never checked channel values; addresses 0xAABF/0xAD16/0xB0E5 write AN6/data/AN5 NOT AN2; RAM 0x0080 (28R/7W) is working_variable not pure sensor; coolant sensor location UNKNOWN,FALSE,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero PE2/AN2 channel selections; 0xAABF writes 0x1E=AN6; 0xAD16 is data byte 0x02; 0xB0E5 writes 0xBD=AN5 scan; port_usage_analyzer.py lines 305-316 missing ADCTL value parsing logic"
PE3/AN3,ADC Channel 3,56,Unknown,?,?,Unknown sensor (possibly TPS),Unknown voltage,Requires ALDL RAM logging or PCB trace,❌ ZERO EXPLICIT SELECTIONS FOUND,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN3 selections in both stock and Enhanced bins; RAM 0x00F3 may be TPS but NOT read via HC11 internal PE3/AN3 ADC input; likely external SPI ADC chip or multiplexed input,LOW,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero PE3/AN3 channel selections; RAM 0x00F3 access pattern unverified; sensor location unknown; HC11 ADC section"
PE4/AN4,ADC Channel 4 (EEI A5 in Enhanced),59,C/D Pink 32-pin (Enhanced Mod via C16),C16 (Enhanced),PURPLE/WHITE,Enhanced Mod EEI A5 wideband/MAP input OR stock unknown sensor,0-5V analog 0-255 count (Enhanced) OR unknown voltage (stock),Wire 0-5V sensor with 10kΩ pull-down (Enhanced) OR ALDL RAM logging (stock),⚠️ ENHANCED MOD CHANGES ADC USAGE,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN4 selections in STOCK bins; Enhanced Mod Implementation Guide: PE4/AN4 = EEI A5 input at ECU connector C16 for wideband AFR (Innovate/14point7) or external MAP; requires case drilling + wire to HC11 PE4/AN4 pin; Innovate AFR formula: (((22.39-7.35)/255)*x)+7.35,MEDIUM,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025; VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md lines 129,699; SNAPON_PINOUT_COMPLETE.csv C16; PCMHacking_Enhanced_Mod_Thread.md EEI section"
PE5/AN5,ADC Channel 5 (PRIMARY SCAN MODE + EEI B10 in Enhanced),60,C/D Pink 32-pin (Enhanced Mod via C17),C17 (Enhanced),TBD (wire from ECU case),Enhanced Mod EEI B10 secondary input OR stock 4-sensor scan mode,0-5V analog (Enhanced) OR auto-scan AN5→AN6→AN7→AN0 (stock),Wire 0-5V sensor (Enhanced) OR ALDL logging (stock),✅ CONFIRMED - 17x SCAN MODE STARTS,CORRECTED_adc_channel_analyzer.py: 17x ADCTL writes of 0xBD (SCAN mode MULT starting at AN5); Enhanced Mod adds B10 input at C17 for secondary sensor (boost/EGT/etc); requires case drilling + wire to HC11 PE5/AN5 pin,HIGH,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025; VY_V6_Enhanced_Mod_Complete_Implementation_Guide.md lines 130,700; PCMHacking_Enhanced_Mod_Thread.md EEI section"
PE6/AN6,ADC Channel 6 (SINGLE CHANNEL MODE),61,Unknown,?,?,O2 sensor (narrow-band stock; optional wideband Enhanced),0.1-0.9V narrow-band OR 0-5V wideband AFR,Monitor with scan tool during closed loop,✅ CONFIRMED - 3x SINGLE CHANNEL READS,CORRECTED_adc_channel_analyzer.py: 3x ADCTL single-channel writes (2x 0x86 + 1x 0xCE) targeting AN6 explicitly; ALSO read via AN5 scan mode; stock VY V6 uses narrow-band O2 (user confirmed); ALDL Engine Data offset 0x0E (LH O2 mV) + 0x10 (RH O2 mV); formula X*4.44mV; Enhanced may support wideband option; RAM 0x0190 storage; IDENTICAL pattern in stock and Enhanced,HIGH,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: 3 single AN6 reads + scan mode reads; stock and Enhanced IDENTICAL; user confirmed stock VY uses narrow-band O2 sensors; RAM 0x0190 (11R/5W); HC11 ADC section; VX_VY_VU Engine and trans TP5 V104.adx Mode 1 Message 0 offset 0x0E+0x10"
PE7/AN7,ADC Channel 7 (scanned),62,Unknown,?,?,Unknown sensor via scan mode (possibly trans temp),Voltage read via AN5 scan wraparound,Requires ALDL RAM logging or PCB trace,⚠️ SCAN MODE ONLY - ZERO EXPLICIT SELECTIONS,CORRECTED_adc_channel_analyzer.py: ZERO explicit AN7 selections; read ONLY via AN5 scan wraparound (AN5→AN6→AN7→AN0); RAM 0x027C access pattern unverified; sensor location unknown; may be trans temp or other thermistor,LOW,BOTH,"CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero PE7/AN7 explicit channel selections; read via scan mode only; RAM 0x027C unverified; HC11 ADC section"
N/A,Ground (multiple),Multiple,A/B Pink 24-pin,A12,GRY/R,PCM ground,0V chassis ground,Verify continuity to chassis,✅ CONFIRMED,Snap-on confirmed GRY/R (Grey/Red),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A12; multiple PCM ground pins; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49"
N/A,Ground C6,Multiple,C/D Pink 32-pin,C6,BLA/Y,PCM ground,0V chassis ground,Verify continuity to chassis,✅ CONFIRMED,Snap-on confirmed BLA/Y (Black/Yellow),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C6; multiple PCM ground pins"
N/A,Ground D6,Multiple,C/D Pink 32-pin,D6,BLACK RED,PCM ground,0V chassis ground,Verify continuity to chassis,✅ CONFIRMED,Snap-on confirmed BLACK RED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D6; multiple PCM ground pins"
N/A,Ignition +12V A6,Multiple,A/B Pink 24-pin,A6,UNUSED,Switched power,12V when ignition ON,Test with multimeter,⚠️ PIN UNUSED,Snap-on shows A6 as UNUSED; A/B connector may not have IGN feed,MEDIUM,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A6; pin physically empty"
N/A,Ignition +12V,Multiple,C/D Pink 32-pin,D16,ORANGE,Switched power,12V when ignition ON,Test with multimeter,✅ CONFIRMED,Snap-on confirmed ORANGE; MrModule described as Dark Brown,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv D16; mrmodule_ALDL_pinout.md; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49-52"
N/A,ABS/TC Torque Request,N/A,A/B Pink 24-pin,B8,ORANGE,ABS module PWM output,PWM input to stop Requested Torque Out of Range DTC,Connect ALDL simulator Output 5,✅ CONFIRMED,Snap-on confirmed ORANGE; MrModule ALDL manual: PWM input for VX/VY (B8); VT uses C11; prevents DTC when ABS/TC present or simulated,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B8; mrmodule_ALDL_pinout.md ABS/TC section; ALDL simulator MODE 3 output 5; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49-52"
N/A,Oil pressure switch,Unknown,Unknown,?,?,Oil pressure lamp request,Ground = low pressure or Open = OK,Test with engine off vs running,⚠️ Needs wiring diagram,MrModule ALDL manual: PCM drives oil warning to cluster via discrete output or ALDL encoding; exact pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md oil pressure section; wiring diagram required for pin identification"
N/A,MIL/Check Engine,Unknown,Unknown,?,?,Check engine lamp driver,Ground trigger from PCM,Trigger DTC and observe lamp,⚠️ Needs wiring diagram,MrModule ALDL manual: PCM drives MIL/Engine Malfunction lamp to cluster via low-side driver or ALDL; pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md MIL section; XDF v2.09a DTC tables; wiring diagram required"
N/A,Power/Econ button input,Unknown,Unknown,?,?,Momentary pushbutton,Momentary ground to toggle shift pattern,Press shift pattern button and monitor,⚠️ Auto trans only,MrModule ALDL manual: Momentary pushbutton input toggles Power/Econ mode; pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md shift pattern section; XDF v2.09a shift schedule tables; wiring diagram required"
N/A,Power/Econ lamp output,Unknown,Unknown,?,?,Shift pattern indicator lamp,Ground = Power mode active,Observe lamp with shift pattern button,⚠️ Auto trans only,MrModule ALDL manual: PCM drives shift pattern indicator lamp (single or two-lamp relay); pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md shift pattern lamp section; XDF v2.09a shift schedule tables; wiring diagram required"
N/A,A/C request input,Unknown,Unknown,?,?,A/C dash switch + blower,12V when A/C demanded,Test with A/C on and fan running,⚠️ Needs wiring diagram,MrModule ALDL manual: 12V input when dash A/C switch + fan ON; PCM can drop A/C at high RPM/load/temp; pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md A/C section; XDF v2.09a A/C cutout tables; wiring diagram required"
N/A,A/C clutch relay output,Unknown,Unknown,?,?,A/C compressor clutch relay,Ground-side relay driver,Test with A/C on at idle vs high load,⚠️ Needs wiring diagram,MrModule ALDL manual: PCM controls A/C clutch relay; can drop clutch at high RPM/load/coolant temp; requires factory 3-wire pressure sensor; pin number in wiring images only,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md A/C clutch section; XDF v2.09a A/C pressure tables; wiring diagram required"
N/A,Cluster ALDL (separate wire),Unknown,C/D Pink 32-pin,C13 (shared),Green/White (cluster side),Instrument cluster ALDL bus,8192 baud ALDL packets,Monitor with scan tool,✅ CONFIRMED,MrModule ALDL manual: VY cluster uses green/white wire spliced into same ALDL data line (pin 3 diagnostic connector) that PCM uses; factory BCM isolates modules,HIGH,WIRING/SCOPE,"mrmodule_ALDL_pinout.md cluster wiring section; C13 shared with PD0/PD1; green/white cluster splice; ENHANCED_V1_0A_DECOMPILATION_SUMMARY.md line 49; 8192 baud ALDL protocol"
N/A,VATS disable input,Unknown,Unknown,?,?,Kill switch (optional),Ground = disable engine start,Test with momentary switch,⚠️ Optional feature,ALDL White plus Black input wire used for VATS control,MEDIUM,BOTH,"mrmodule_ALDL_pinout.md VATS section; ALDL white+black wires; optional feature not standard VY"

N/A,EST signal (to DFI),N/A,A/B Pink 24-pin,B3,WHITE,DFI module pin A,EST control signal (white wire),Test with DFI module connector,✅ CONFIRMED,Snap-on manual H034 (page 56): VX/VY V6 EST Check - PCM pin B3 (white) connects to DFI module pin A (white); resistance check under 500 ohms normal,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H034 page 56; EST timing control circuit; XDF v1.2/v2.09a spark timing tables"
N/A,EST bypass (to DFI),N/A,A/B Pink 24-pin,B4,TAN/BLACK,DFI module pin B,EST bypass signal (tan/black wire),Test with DFI module connector,✅ CONFIRMED,Snap-on manual H034 (page 56): VX/VY V6 EST Check - PCM pin B4 (tan/black) connects to DFI module pin B (tan/black); testlight check should be off when DFI connected,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H034 page 56; EST bypass/enable circuit; used for timing verification"
N/A,ECU Pin B4 (NOT PE1/AN1),54,A/B Pink 24-pin,B4,WHITE/BLACK,Possible IAT sensor (NOT HC11 internal ADC),Thermistor voltage via external ADC or multiplexer,ALDL logging + PCB trace required,❌ BINARY ANALYSIS CONTRADICTS WIRING DOCS,JustCommodores + Snap-on manuals claim B4 = IAT with WHITE/BLACK wire BUT CORRECTED_adc_channel_analyzer.py shows ZERO PE1/AN1 channel selections in binary; B4 pin may exist but does NOT map to HC11 PE1/AN1 internal ADC input; likely external SPI ADC chip handles coolant/IAT/TPS/other sensors; requires PCB trace from B4 connector pin to actual chip,MEDIUM,WIRING/SCOPE,"JustCommodores wiring thread vs CORRECTED_adc_channel_analyzer.py Nov 21 2025: Zero AN1 selections contradict IAT claim; 20 SPI accesses suggest external ADC chip; Snap-on H020 page 43 IAT resistance table may be correct for B4 pin but wrong for HC11 internal ADC mapping"

N/A,Crank sensor reference +,PA0/IC3 (TIC3),C/D Pink 32-pin,C1,PUR/WH,Crank position sensor +,3X hall effect pulse (3 pulses/rev),Scope during cranking - verify 3 pulses per rev,✅ CONFIRMED,JimStim bench harness guide + PCMHacking Topic 5204: C1=Crank+; Snap-on confirmed PUR/WH (Purple/White); PA0/IC3 ISR at 0x180DB confirms crank input,HIGH,BOTH,"VY_V6_ECU_Bench_Harness_Guide.md JimStim section; PCMHacking Topic 5204; ISR 0x180DB-0x1815B (129 bytes); TIC3 vector 0xFFEA; SNAPON_PINOUT_COMPLETE.csv C1"
N/A,Crank sensor reference -,Ground,C/D Pink 32-pin,C2,GRN/BLA,Crank position sensor ground,Signal ground reference for crank,Continuity to PCM ground pins C6/D6,✅ CONFIRMED,JimStim bench harness guide + PCMHacking Topic 5204: C2=Crank-; Snap-on confirmed GRN/BLA (Green/Black); Hall effect sensor signal return,HIGH,BOTH,"VY_V6_ECU_Bench_Harness_Guide.md JimStim section; PCMHacking Topic 5204; SNAPON_PINOUT_COMPLETE.csv C2"
N/A,IAC Coil D (S/C C8),Unknown,C/D Pink 32-pin,C3,BLU/BLA,IAC Coil D winding,PWM idle control,Scope at idle for duty cycle,✅ Topic 3641 + Snap-on,Flash PCM C3=IAC D maps to S/C PCM C8; Snap-on confirmed BLU/BLA (Blue/Black); IAC stepper motor coil D,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C3; PCMHacking Topic 3641"
N/A,IAC Coil C (S/C C7),Unknown,C/D Pink 32-pin,C4,BLU,IAC Coil C winding,PWM idle control,Scope at idle for duty cycle,✅ Topic 3641 + Snap-on,Flash PCM C4=IAC C maps to S/C PCM C7; Snap-on confirmed BLU (Blue); IAC stepper motor coil C,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C4; PCMHacking Topic 3641"
N/A,IAC Coil A (S/C C10),Unknown,C/D Pink 32-pin,C5,GRN/WH,IAC Coil A winding,PWM idle control,Scope at idle for duty cycle,✅ Topic 3641 + Snap-on,Flash PCM C5=IAC A maps to S/C PCM C10; Snap-on confirmed GRN/WH (Green/White); IAC stepper motor coil A,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C5; PCMHacking Topic 3641"
N/A,TPS A/D (S/C B11),Unknown,C/D Pink 32-pin,C7,BLU,Throttle Position Sensor,0.5-4.5V analog,Sweep throttle slowly for linear ramp,✅ Topic 3641 + Snap-on,Flash PCM C7=TPS maps to S/C PCM B11; Snap-on confirmed BLU (Blue); TPS analog voltage input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C7; PCMHacking Topic 3641"
N/A,Connector pin C8 / EGR A/D (wideband workaround),Unknown,C/D Pink 32-pin,C8,GRN (Light Green),EGR Feedback A/D (or wideband workaround per Topic 7083),0-5V analog,Monitor EGR position OR repurpose for wideband logging,✅ Topic 3641 + 7083,Topic 3641: C8=EGR A/D (Light Green); Topic 7083: 0081 used EGR input for wideband logging on Flash PCM - lower resolution but works; signal issues if fed before engine running,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C8; PCMHacking Topic 3641; Topic 7083 Flash PCM wideband workaround"
N/A,RH O2 Sensor + (S/C D13),Unknown,C/D Pink 32-pin,C9,GRY,Right Bank O2 Sensor +,0.1-0.9V narrowband,Monitor in closed loop (should toggle),✅ Topic 3641 + Snap-on,Flash PCM C9=RH O2+ maps to S/C PCM D13; Snap-on confirmed GRY (Grey); Right bank O2 positive signal,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C9; PCMHacking Topic 3641"
N/A,LH Knock Sensor (Flash separate),Unknown,C/D Pink 32-pin,C10,BLU,Left Bank Knock Sensor,AC piezo voltage spike,Tap engine block near sensor (>50mV AC),✅ Topic 3641 + Snap-on,Flash PCM has separate LH knock at C10 (S/C uses combined at C12); Snap-on confirmed BLU (Blue),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C10; PCMHacking Topic 3641"
N/A,RH Knock Sensor (Flash separate),Unknown,C/D Pink 32-pin,C11,BLU,Right Bank Knock Sensor,AC piezo voltage spike,Tap engine block near sensor (>50mV AC),✅ Topic 3641 + Snap-on,Flash PCM has separate RH knock at C11 (S/C uses combined at C12); Snap-on confirmed BLU (Blue); Note: Light Blue per Topic 3641,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv C11; PCMHacking Topic 3641"
N/A,Knock sensor input,Unknown,C/D Pink 32-pin,C12,ORANGE/BLACK (was WHITE/RED in H021),Dual knock sensors (VS/VT 3.8L V6),50-100 Kohms to ground (50K = both sensors OK; 100K = one open circuit),Test resistance PCM pin C12 to ground with IGN OFF,✅ CONFIRMED,Snap-on manual H021 page 44: VS/VT V6 knock sensor test - PCM pin C12 (white/red in text but ORANGE/BLACK per H013 wire chart); 50 Kohms = both sensors OK; 100 Kohms = one sensor open; dual knock sensor system with series connection,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H021 page 44; knock sensor resistance test procedure; VS/VT 3.8L V6 specific; tap alternator bracket test >50mV AC"
